Name,Age,Score,Group
Joseph Collins,20.0,94.54,"Robotics, Cultural Club, Sports Club"
Mary Robinson,21.0,95.83,"Literary Society, Coding Club, Entrepreneurship Cell"
Sharon Coleman,19.0,66.37,Robotics
Kavya,22.0,77.04,"Entrepreneurship Cell, Coding Club, Cultural Club"
Nancy Stewart,20.0,73.5,"Robotics, Cultural Club, Entrepreneurship Cell"
Courtney Hayes,22.0,71.52,"Cultural Club, Literary Society"
Carlos Ryan,21.0,75.09,"Robotics, Entrepreneurship Cell"
William Garcia,19.0,98.39,Entrepreneurship Cell
Brittany Jones,18.0,66.15,"Robotics, Sports Club, Literary Society"
Anthony Rush,19.0,85.35,Coding Club
Arthur Hamilton MD,19.0,76.58,"Entrepreneurship Cell, Coding Club"
Lisa Webb,22.0,79.5,"Sports Club, Cultural Club, Entrepreneurship Cell"
Edward Arroyo,19.0,75.31,Sports Club
Arjun,23.0,70.09,Robotics
Anita,18.0,85.5,Robotics
Gregory Montoya,23.0,76.12,"Literary Society, Sports Club, Cultural Club"
Sherry Davis,20.0,72.52,"Cultural Club, Sports Club, Robotics"
Christopher Norton Jr.,22.0,97.2,"Sports Club, Coding Club, Robotics"
Timothy Combs,23.0,75.16,Robotics
Arjun,20.0,64.62,"Sports Club, Coding Club"
Vikram,22.0,89.25,"Entrepreneurship Cell, Cultural Club"
Sonal,21.0,76.52,"Robotics, Literary Society"
Miguel Wagner,22.0,64.68,"Entrepreneurship Cell, Coding Club, Cultural Club"
James Whitaker,19.0,96.47,"Literary Society, Cultural Club, Sports Club"
Vikram,20.0,84.96,Literary Society
Neha,18.0,87.29,"Cultural Club, Sports Club"
Harold Castillo,19.0,95.55,"Cultural Club, Coding Club"
Kelly Hammond,21.0,91.97,Entrepreneurship Cell
Danielle Jones,19.0,77.29,"Sports Club, Entrepreneurship Cell"
Joyce Brown,20.0,65.35,Entrepreneurship Cell
Karan,21.0,76.45,Coding Club
Martha Garrison,19.0,98.01,"Sports Club, Coding Club"
Arjun,23.0,72.32,"Cultural Club, Sports Club, Literary Society"
Jonathan Bradley,22.0,95.76,"Sports Club, Robotics"
Kristen Peters,21.0,77.72,Literary Society
Deborah Mercado,20.0,77.43,"Literary Society, Sports Club, Robotics"
Arjun,21.0,79.94,"Robotics, Sports Club, Coding Club"
Christine Herman,22.0,99.45,"Literary Society, Cultural Club"
Karan,18.0,72.11,Cultural Club
Robert West,18.0,70.46,"Sports Club, Coding Club"
Priya,18.0,92.22,"Entrepreneurship Cell, Cultural Club, Sports Club"
Robert Jones,22.0,70.77,Coding Club
Richard Williamson,23.0,81.2,"Cultural Club, Coding Club"
Rakhi,23.0,76.78,"Cultural Club, Sports Club"
Meena,18.0,64.11,"Robotics, Coding Club, Cultural Club"
Ramya,19.0,99.38,"Sports Club, Coding Club"
Rakesh,23.0,69.32,"Literary Society, Coding Club"
Stephanie Lucas,19.0,65.35,"Entrepreneurship Cell, Sports Club, Cultural Club"
Meena,23.0,93.35,"Sports Club, Coding Club, Literary Society"
Meena,18.0,68.42,"Cultural Club, Entrepreneurship Cell, Literary Society"
Stephanie Williams,20.0,79.51,Cultural Club
Rebecca Acosta,23.0,79.06,"Coding Club, Entrepreneurship Cell, Sports Club"
Taylor Calderon,19.0,70.38,"Entrepreneurship Cell, Literary Society"
Suresh,18.0,60.53,"Sports Club, Robotics, Coding Club"
Meena,23.0,88.36,"Robotics, Coding Club, Cultural Club"
Ravi,20.0,69.28,Coding Club
Eddie Adams,20.0,69.29,Cultural Club
Jonathan Young,21.0,71.43,"Cultural Club, Literary Society, Robotics"
Sonal,18.0,81.6,"Sports Club, Entrepreneurship Cell"
Divya,19.0,72.08,"Cultural Club, Coding Club, Sports Club"
Sonal,21.0,91.71,Literary Society
Nathan Smith,20.0,67.37,"Entrepreneurship Cell, Coding Club, Robotics"
Rakhi,22.0,87.3,"Cultural Club, Robotics"
Kristina Young,18.0,84.15,Coding Club
Daniel Rivera,18.0,66.16,Coding Club
Holly Valdez,22.0,88.71,"Robotics, Coding Club, Literary Society"
Vanessa Hatfield,22.0,74.51,Literary Society
Jennifer Norton,23.0,88.36,"Robotics, Coding Club, Cultural Club"
Carrie Deleon,21.0,86.84,Sports Club
Anita,18.0,97.86,Cultural Club
Suresh,20.0,65.89,"Literary Society, Cultural Club, Sports Club"
Anita,22.0,74.22,"Cultural Club, Entrepreneurship Cell"
Derek Wright,21.0,96.24,Entrepreneurship Cell
Karen Romero,23.0,96.35,"Entrepreneurship Cell, Literary Society"
Michael Colon,20.0,98.62,"Entrepreneurship Cell, Sports Club"
Amit,20.0,67.03,"Coding Club, Robotics"
Siddharth,22.0,96.97,"Literary Society, Entrepreneurship Cell, Cultural Club"
Cassidy Curry,22.0,93.98,Literary Society
Mr. Jeffrey Horton,22.0,92.31,"Sports Club, Literary Society"
Rakesh,18.0,94.11,"Sports Club, Cultural Club, Entrepreneurship Cell"
Jordan Bates,20.0,93.92,"Entrepreneurship Cell, Literary Society, Sports Club"
Ramya,18.0,61.25,"Coding Club, Robotics, Sports Club"
Suresh,21.0,61.47,"Robotics, Cultural Club"
Rakesh,21.0,60.16,Literary Society
Rakesh,19.0,86.53,"Cultural Club, Robotics"
Sydney Robles,18.0,99.12,Cultural Club
Christopher Palmer,21.0,89.66,Literary Society
Karan,18.0,72.54,"Robotics, Literary Society"
Arjun,19.0,67.32,"Literary Society, Sports Club, Cultural Club"
Ramya,18.0,93.73,Sports Club
Rebecca Mayo,18.0,98.06,"Cultural Club, Entrepreneurship Cell"
Kimberly Adkins,20.0,75.09,Coding Club
Dustin Gallegos,19.0,86.84,"Robotics, Sports Club"
Amit,19.0,87.44,"Sports Club, Coding Club, Literary Society"
Jamie Walton,18.0,99.09,"Coding Club, Entrepreneurship Cell"
Siddharth,18.0,67.22,"Coding Club, Cultural Club, Entrepreneurship Cell"
Meena,21.0,82.13,Entrepreneurship Cell
Rakesh,18.0,82.63,"Literary Society, Robotics, Sports Club"
Alexander Collins,18.0,68.48,"Sports Club, Entrepreneurship Cell, Cultural Club"
Rakesh,21.0,81.11,"Sports Club, Literary Society, Robotics"
Judy Beck,21.0,61.52,Cultural Club
Vikram,18.0,89.6,Cultural Club
Donald Wilson,23.0,95.82,Cultural Club
Sarah York,22.0,71.33,Cultural Club
Lee Steele,21.0,73.72,"Entrepreneurship Cell, Cultural Club"
Priya,23.0,60.04,Literary Society
Meena,18.0,99.09,"Coding Club, Entrepreneurship Cell"
Theresa Wilkins,21.0,63.81,"Entrepreneurship Cell, Robotics, Literary Society"
Sonal,21.0,71.43,"Cultural Club, Literary Society, Robotics"
Michael Smith,22.0,76.85,Sports Club
Vikram,19.0,85.51,"Entrepreneurship Cell, Robotics"
Arjun,23.0,75.16,Robotics
Anil,20.0,73.04,"Coding Club, Literary Society, Robotics"
Rahul,22.0,89.85,"Literary Society, Entrepreneurship Cell, Cultural Club"
Bradley Johnson DDS,19.0,96.36,"Coding Club, Literary Society"
Rahul,19.0,73.03,"Sports Club, Cultural Club, Entrepreneurship Cell"
Casey Perez,19.0,64.05,"Entrepreneurship Cell, Robotics"
Ravi,22.0,72.98,"Cultural Club, Coding Club, Literary Society"
Sonal,23.0,78.21,"Cultural Club, Sports Club"
Pooja,22.0,92.51,"Sports Club, Robotics"
Arjun,21.0,94.59,"Sports Club, Coding Club, Robotics"
Arjun,20.0,73.04,"Coding Club, Literary Society, Robotics"
Siddharth,21.0,71.43,"Robotics, Entrepreneurship Cell"
Maria Cole,19.0,84.74,Robotics
Erik Carr,19.0,79.27,Cultural Club
Philip Ramsey,20.0,77.51,Entrepreneurship Cell
Kavya,19.0,69.07,"Sports Club, Literary Society, Coding Club"
Amit,18.0,60.36,Entrepreneurship Cell
Lisa Miller,23.0,73.28,"Robotics, Cultural Club"
Jacob Griffith,23.0,71.87,Entrepreneurship Cell
Priya,19.0,90.23,"Literary Society, Entrepreneurship Cell, Robotics"
Denise Stuart,18.0,99.61,"Coding Club, Sports Club, Cultural Club"
Kavya,20.0,69.78,"Cultural Club, Literary Society"
Rakhi,19.0,96.47,"Literary Society, Cultural Club, Sports Club"
Rahul,23.0,72.53,Robotics
Jose Travis,20.0,85.39,"Coding Club, Entrepreneurship Cell, Robotics"
Rakhi,20.0,99.95,Sports Club
Vikram,19.0,62.4,"Coding Club, Entrepreneurship Cell, Sports Club"
Katherine Pearson,23.0,77.08,"Entrepreneurship Cell, Sports Club, Robotics"
Gregory Bell,22.0,71.68,"Cultural Club, Robotics, Literary Society"
Jacqueline Dickerson,23.0,66.25,Sports Club
Theresa Elliott,21.0,75.11,"Coding Club, Entrepreneurship Cell, Robotics"
Danielle Murray,21.0,74.06,"Coding Club, Literary Society, Sports Club"
Kavya,18.0,64.75,"Coding Club, Entrepreneurship Cell"
Rahul,20.0,88.78,"Cultural Club, Robotics"
Sonal,22.0,87.3,"Cultural Club, Robotics"
Vikram,22.0,83.72,"Entrepreneurship Cell, Sports Club"
Sonal,19.0,85.25,"Sports Club, Literary Society, Cultural Club"
Robin Brown,23.0,86.02,Cultural Club
Pooja,23.0,81.34,"Coding Club, Literary Society, Entrepreneurship Cell"
Ravi,20.0,82.53,"Coding Club, Cultural Club"
Michael Bowen,22.0,75.52,Cultural Club
Alexis Benson,21.0,77.49,Literary Society
Neha,21.0,75.0,"Coding Club, Entrepreneurship Cell"
Anita,21.0,78.56,"Sports Club, Literary Society"
Neha,22.0,78.22,"Cultural Club, Entrepreneurship Cell, Sports Club"
Ramya,23.0,93.56,Coding Club
Vikram,20.0,69.29,Cultural Club
Abigail Davis,20.0,66.62,Cultural Club
Heather Ellis,20.0,84.53,"Robotics, Sports Club, Entrepreneurship Cell"
Rakesh,23.0,81.34,"Coding Club, Literary Society, Entrepreneurship Cell"
Arjun,22.0,98.13,"Cultural Club, Coding Club"
Susan Arnold,20.0,67.2,"Robotics, Literary Society"
Kathryn Lester,20.0,70.55,"Robotics, Cultural Club"
Rakesh,19.0,98.39,Entrepreneurship Cell
Anita,20.0,94.71,Entrepreneurship Cell
Divya,23.0,68.28,"Literary Society, Robotics, Cultural Club"
Rakhi,23.0,98.47,Literary Society
Pam Lowe,18.0,84.15,"Entrepreneurship Cell, Coding Club, Literary Society"
Arjun,20.0,89.07,"Literary Society, Sports Club, Cultural Club"
Eric Williams,18.0,61.44,"Literary Society, Entrepreneurship Cell, Cultural Club"
Sonal,19.0,75.54,"Sports Club, Literary Society"
Abigail Pierce,22.0,68.06,"Entrepreneurship Cell, Literary Society"
Pooja,20.0,79.27,"Coding Club, Robotics, Entrepreneurship Cell"
Robert Montgomery,23.0,83.39,"Cultural Club, Entrepreneurship Cell, Sports Club"
Richard Richards,23.0,60.55,"Cultural Club, Entrepreneurship Cell"
Anil,20.0,70.55,"Robotics, Cultural Club"
Anil,23.0,88.66,"Cultural Club, Sports Club, Coding Club"
Victor Brown,18.0,64.75,"Coding Club, Entrepreneurship Cell"
Rakhi,21.0,62.32,"Entrepreneurship Cell, Sports Club"
Rakhi,18.0,90.08,"Entrepreneurship Cell, Robotics, Sports Club"
Adam Jones,18.0,67.63,"Literary Society, Robotics, Cultural Club"
Nicole Barker,19.0,80.6,"Cultural Club, Robotics"
Amit,18.0,60.36,Entrepreneurship Cell
Karan,21.0,60.11,"Robotics, Sports Club, Literary Society"
Rahul,18.0,98.87,"Coding Club, Literary Society, Cultural Club"
Timothy Hayden DVM,23.0,81.53,"Literary Society, Coding Club"
Cynthia Rios,23.0,65.42,Entrepreneurship Cell
Pooja,21.0,84.72,Cultural Club
Pooja,18.0,87.1,"Cultural Club, Coding Club, Sports Club"
Priya,18.0,77.75,Cultural Club
Ramya,21.0,76.52,"Robotics, Literary Society"
Rahul,18.0,61.25,"Coding Club, Robotics, Sports Club"
Anita,22.0,61.42,Sports Club
Pooja,19.0,96.64,"Entrepreneurship Cell, Literary Society, Cultural Club"
Travis Miller,21.0,64.23,"Literary Society, Robotics, Cultural Club"
Rahul,19.0,99.22,Literary Society
Priya,19.0,88.33,Robotics
Jennifer Miles,21.0,95.51,"Cultural Club, Sports Club, Literary Society"
Victor Edwards,20.0,96.55,"Robotics, Sports Club, Entrepreneurship Cell"
Megan Walker,23.0,90.84,"Robotics, Entrepreneurship Cell, Sports Club"
Rebecca Thompson,18.0,81.77,"Literary Society, Cultural Club"
Anita,20.0,60.26,"Robotics, Cultural Club"
Ann Dixon,23.0,94.0,"Robotics, Sports Club"
Meena,20.0,64.15,"Coding Club, Robotics"
Siddharth,23.0,88.66,"Cultural Club, Sports Club, Coding Club"
Abigail Potter,22.0,78.93,"Entrepreneurship Cell, Coding Club, Sports Club"
Karan,19.0,79.23,"Literary Society, Entrepreneurship Cell"
Harry Williams,18.0,90.08,"Entrepreneurship Cell, Robotics, Sports Club"
Valerie Gray,19.0,84.18,"Sports Club, Cultural Club"
James Mccoy,21.0,82.55,"Robotics, Entrepreneurship Cell, Sports Club"
Sonal,23.0,61.39,Cultural Club
Anna Ross,23.0,88.3,"Robotics, Entrepreneurship Cell, Coding Club"
Erin Bridges,19.0,78.31,Sports Club
Kenneth Sanchez MD,19.0,89.39,"Sports Club, Robotics"
Michael Roberts,23.0,88.84,"Robotics, Literary Society"
Priya,23.0,74.06,"Literary Society, Sports Club"
Andrew Gonzalez,18.0,71.84,"Sports Club, Cultural Club"
Charles Weaver,19.0,65.67,Cultural Club
Arjun,19.0,60.43,"Robotics, Entrepreneurship Cell"
Priya,19.0,92.43,"Coding Club, Sports Club"
Vikram,21.0,93.1,Robotics
Patricia Hayes,22.0,80.48,"Entrepreneurship Cell, Cultural Club"
Vikram,19.0,84.13,Cultural Club
Suresh,19.0,87.44,"Sports Club, Coding Club, Literary Society"
Rakhi,20.0,63.4,Robotics
Pooja,22.0,68.46,Cultural Club
Kavya,22.0,83.69,Entrepreneurship Cell
Siddharth,21.0,73.54,Coding Club
Neha,22.0,63.36,"Coding Club, Robotics"
Phillip Jimenez,19.0,65.57,"Sports Club, Cultural Club, Coding Club"
Kyle Nguyen,23.0,94.72,"Entrepreneurship Cell, Literary Society"
Terry Ward,20.0,98.41,"Cultural Club, Sports Club"
Amit,22.0,98.13,"Cultural Club, Coding Club"
Suresh,22.0,90.34,"Cultural Club, Coding Club"
Ravi,22.0,99.12,"Coding Club, Cultural Club"
Kenneth Andrews,18.0,73.34,"Sports Club, Literary Society, Robotics"
Vikram,18.0,68.42,"Cultural Club, Entrepreneurship Cell, Literary Society"
Ashley Perry,23.0,82.51,"Sports Club, Robotics"
Ryan Bryant,23.0,78.21,"Cultural Club, Sports Club"
Ravi,22.0,62.58,"Sports Club, Entrepreneurship Cell, Coding Club"
Arjun,18.0,82.63,"Literary Society, Robotics, Sports Club"
Rachel Ward,21.0,69.03,"Robotics, Entrepreneurship Cell"
Priya,18.0,66.15,"Robotics, Sports Club, Literary Society"
Juan Nelson,19.0,96.75,"Sports Club, Entrepreneurship Cell, Robotics"
Meena,20.0,73.42,Literary Society
Yolanda Green,23.0,65.05,"Literary Society, Cultural Club"
Christopher Williams,20.0,86.72,"Literary Society, Robotics, Entrepreneurship Cell"
Renee Bruce,23.0,91.49,"Entrepreneurship Cell, Sports Club, Cultural Club"
Debra Morton,18.0,89.49,"Entrepreneurship Cell, Robotics, Literary Society"
Sara Evans,18.0,67.67,"Cultural Club, Robotics"
Amit,19.0,71.65,"Sports Club, Coding Club"
Stephanie Herrera,20.0,85.47,Robotics
Robert Santana,22.0,89.83,"Coding Club, Robotics, Literary Society"
Bailey Hall,20.0,68.19,"Robotics, Coding Club, Cultural Club"
Margaret Tanner,23.0,78.09,Cultural Club
Sonal,21.0,68.05,"Cultural Club, Entrepreneurship Cell, Robotics"
Jennifer Brown,19.0,71.74,Robotics
Robin Adams,21.0,94.25,Cultural Club
Rahul,23.0,99.8,"Entrepreneurship Cell, Sports Club, Literary Society"
Carrie Maxwell,22.0,87.3,"Cultural Club, Robotics"
Kavya,22.0,93.75,Entrepreneurship Cell
Daniel Parrish,19.0,79.57,Literary Society
Ramya,19.0,65.35,"Entrepreneurship Cell, Sports Club, Cultural Club"
Sonal,21.0,60.39,"Literary Society, Coding Club"
Elizabeth Stanley,20.0,72.19,"Literary Society, Coding Club"
Crystal Robinson,21.0,71.43,"Robotics, Entrepreneurship Cell"
Charlotte Mason,19.0,68.2,"Robotics, Coding Club, Entrepreneurship Cell"
Matthew House,19.0,92.84,"Entrepreneurship Cell, Sports Club, Robotics"
Gene Castro,18.0,87.59,Coding Club
Jason Davis,23.0,83.29,"Cultural Club, Sports Club"
James Willis,20.0,73.4,"Cultural Club, Literary Society"
Sean Moore,20.0,72.17,"Entrepreneurship Cell, Sports Club"
Alison Brown,22.0,72.39,"Cultural Club, Coding Club, Sports Club"
Anita,23.0,77.08,"Entrepreneurship Cell, Sports Club, Robotics"
Courtney Peterson,19.0,74.5,"Robotics, Coding Club"
Neha,21.0,83.65,"Sports Club, Coding Club, Literary Society"
Kavya,22.0,72.31,"Entrepreneurship Cell, Robotics"
John Coffey,20.0,65.89,"Literary Society, Cultural Club, Sports Club"
Becky Johnson,21.0,67.47,"Literary Society, Entrepreneurship Cell"
Jordan Edwards,21.0,84.54,"Coding Club, Robotics, Cultural Club"
Sonal,22.0,92.51,"Sports Club, Robotics"
Matthew Velez,21.0,95.19,Entrepreneurship Cell
Cheyenne Horton,22.0,89.25,"Entrepreneurship Cell, Cultural Club"
James Powers,19.0,97.32,Coding Club
Tina Hall,21.0,89.78,Sports Club
Juan Reyes,23.0,94.91,"Sports Club, Coding Club"
Tracy Fitzgerald,19.0,72.0,"Coding Club, Cultural Club, Sports Club"
Sonal,18.0,60.75,Cultural Club
Ravi,18.0,90.08,"Entrepreneurship Cell, Robotics, Sports Club"
Priya,19.0,64.54,Cultural Club
Meena,21.0,95.25,Cultural Club
Priya,20.0,72.19,"Literary Society, Coding Club"
Michael Williams,22.0,72.98,"Cultural Club, Coding Club, Literary Society"
Divya,19.0,80.6,"Cultural Club, Robotics"
Amber Obrien,18.0,79.13,Entrepreneurship Cell
Priya,18.0,62.79,Cultural Club
Pooja,18.0,75.04,"Cultural Club, Sports Club, Robotics"
Brianna Fitzpatrick,21.0,99.81,"Coding Club, Entrepreneurship Cell, Literary Society"
Rahul,20.0,71.33,"Robotics, Sports Club"
Sonal,21.0,72.84,"Literary Society, Entrepreneurship Cell, Sports Club"
Carla Benton,23.0,95.35,"Coding Club, Entrepreneurship Cell"
Amy Taylor,23.0,85.39,Literary Society
Karan,19.0,70.26,"Cultural Club, Entrepreneurship Cell"
Anita,22.0,72.14,"Literary Society, Robotics, Coding Club"
Amit,22.0,86.81,"Sports Club, Literary Society"
Anil,19.0,76.92,Sports Club
Pooja,18.0,67.07,Entrepreneurship Cell
Christina Johnson,23.0,94.94,"Robotics, Entrepreneurship Cell, Coding Club"
Rahul,21.0,60.05,"Literary Society, Robotics, Sports Club"
Kristy Reid,20.0,88.21,"Cultural Club, Robotics"
Meena,19.0,88.73,"Robotics, Coding Club"
Arjun,21.0,61.47,"Robotics, Cultural Club"
Divya,18.0,89.39,"Cultural Club, Sports Club, Robotics"
Penny Bowman,23.0,83.75,"Entrepreneurship Cell, Robotics"
Tina Sanders,21.0,65.43,Robotics
Meena,22.0,99.45,"Literary Society, Cultural Club"
Rakesh,20.0,65.62,Sports Club
Allison Spencer,23.0,60.96,"Literary Society, Robotics, Cultural Club"
Timothy Edwards,21.0,60.16,Literary Society
Haley Anderson,22.0,60.47,"Literary Society, Robotics, Sports Club"
Dean Young,22.0,60.38,Sports Club
Curtis Wilkerson,21.0,60.39,"Literary Society, Coding Club"
Karen Ortiz,22.0,60.84,"Sports Club, Entrepreneurship Cell, Cultural Club"
Megan Le,18.0,81.05,"Entrepreneurship Cell, Coding Club"
Anita,20.0,80.9,"Entrepreneurship Cell, Cultural Club"
Robert Turner,22.0,62.58,"Sports Club, Entrepreneurship Cell, Coding Club"
Robin Andrews,18.0,82.97,"Literary Society, Coding Club, Robotics"
Arjun,19.0,72.21,"Cultural Club, Coding Club"
Pamela Beard,18.0,70.1,"Cultural Club, Robotics"
Rakesh,22.0,72.39,"Cultural Club, Coding Club, Sports Club"
Rahul,21.0,62.07,"Cultural Club, Coding Club"
Kathy Walker,20.0,93.67,"Cultural Club, Robotics, Literary Society"
Neha,21.0,92.11,"Coding Club, Sports Club, Cultural Club"
Theresa Jones,19.0,98.66,"Cultural Club, Entrepreneurship Cell"
James Torres,23.0,67.02,"Coding Club, Robotics, Entrepreneurship Cell"
Kelly Carpenter,19.0,82.48,"Coding Club, Robotics, Literary Society"
Divya,19.0,70.38,"Entrepreneurship Cell, Literary Society"
Siddharth,23.0,93.37,"Robotics, Sports Club, Literary Society"
Angela Griffin,18.0,60.36,Entrepreneurship Cell
Rachel Lane,20.0,83.11,"Cultural Club, Coding Club, Sports Club"
Ramya,18.0,93.74,"Cultural Club, Robotics, Coding Club"
Claudia Lyons,22.0,72.29,"Entrepreneurship Cell, Coding Club, Literary Society"
William Tran,20.0,93.22,Robotics
Suresh,23.0,80.0,Robotics
Jeffrey James,22.0,65.67,Sports Club
Joshua Fitzpatrick,21.0,78.3,Cultural Club
Amit,23.0,90.18,"Coding Club, Literary Society, Sports Club"
Mariah Robles,21.0,60.11,"Robotics, Sports Club, Literary Society"
Aaron Moore,18.0,71.47,"Robotics, Cultural Club"
Arjun,18.0,60.75,Cultural Club
Katherine Browning,18.0,93.56,Robotics
Sonal,20.0,67.37,"Entrepreneurship Cell, Coding Club, Robotics"
Michael Lyons,21.0,91.07,"Cultural Club, Sports Club"
Siddharth,23.0,94.74,Sports Club
Anita,19.0,85.13,"Literary Society, Sports Club, Coding Club"
Karan,23.0,63.39,Robotics
Rahul,22.0,78.0,Sports Club
Meena,23.0,67.14,"Sports Club, Robotics, Entrepreneurship Cell"
Rahul,19.0,64.08,Entrepreneurship Cell
Anil,22.0,76.85,Sports Club
Jason Graves,23.0,60.58,Robotics
Rakhi,20.0,85.04,Entrepreneurship Cell
Cynthia Le,18.0,66.03,"Robotics, Entrepreneurship Cell"
Madison Elliott,18.0,75.19,Entrepreneurship Cell
Timothy Wong,22.0,63.61,"Sports Club, Robotics"
Ramya,18.0,79.32,"Literary Society, Cultural Club, Entrepreneurship Cell"
Rakhi,18.0,69.01,"Cultural Club, Sports Club"
John Reid,22.0,81.82,"Coding Club, Sports Club"
Matthew Lara,22.0,76.96,Coding Club
Neha,22.0,92.82,"Entrepreneurship Cell, Cultural Club, Sports Club"
William Crawford,20.0,63.4,Robotics
Hailey Gutierrez,19.0,85.36,"Entrepreneurship Cell, Coding Club"
Brandy York,18.0,83.77,"Coding Club, Literary Society, Sports Club"
Kathryn Cain,20.0,83.84,Coding Club
David Torres,20.0,72.56,Sports Club
Jennifer Jones,19.0,90.2,Cultural Club
Ramya,23.0,77.21,Literary Society
Morgan Valencia,21.0,94.13,"Coding Club, Entrepreneurship Cell, Cultural Club"
Anita,20.0,80.37,"Literary Society, Coding Club, Robotics"
Justin Frederick,19.0,85.64,"Sports Club, Coding Club"
Sheri Buchanan,18.0,69.61,"Cultural Club, Entrepreneurship Cell"
Suresh,19.0,94.96,Cultural Club
Christopher Mclaughlin,23.0,66.61,"Sports Club, Entrepreneurship Cell"
Anthony Dennis,22.0,90.34,"Cultural Club, Coding Club"
Jonathan Valdez,18.0,67.22,"Coding Club, Cultural Club, Entrepreneurship Cell"
Christian Leblanc,18.0,63.02,Literary Society
Neha,21.0,79.13,Coding Club
Neha,21.0,95.63,"Coding Club, Robotics, Sports Club"
Yvonne Burns,19.0,85.25,"Sports Club, Literary Society, Cultural Club"
Siddharth,20.0,80.37,"Literary Society, Coding Club, Robotics"
Ashley Blair,19.0,74.8,"Entrepreneurship Cell, Coding Club, Literary Society"
Laura Ross,23.0,80.41,Entrepreneurship Cell
Alexa Buck,20.0,93.84,"Entrepreneurship Cell, Cultural Club"
Nicole Phillips,20.0,85.83,"Coding Club, Sports Club, Cultural Club"
Amit,19.0,78.15,Robotics
Ravi,19.0,85.16,Entrepreneurship Cell
Steve Moore,18.0,67.07,Entrepreneurship Cell
Patrick Moore,18.0,70.99,Robotics
Suresh,20.0,73.98,Entrepreneurship Cell
Denise Dean,19.0,70.69,"Literary Society, Coding Club"
Brett Zavala MD,23.0,84.17,"Coding Club, Entrepreneurship Cell"
Kimberly Morrison,18.0,84.69,"Sports Club, Literary Society, Coding Club"
Vivaan Reddy,,,
Priya,21.0,64.83,Coding Club
Sharon Hill,23.0,93.53,"Sports Club, Literary Society"
Luke Estrada,23.0,63.23,"Entrepreneurship Cell, Coding Club, Literary Society"
Siddharth,19.0,80.61,"Literary Society, Sports Club, Entrepreneurship Cell"
Cody Reid,22.0,78.7,Cultural Club
Pooja,20.0,67.05,"Robotics, Literary Society"
Joshua Wells,21.0,67.17,"Robotics, Cultural Club"
Meena,19.0,73.03,"Sports Club, Cultural Club, Entrepreneurship Cell"
Ravi,23.0,60.04,Literary Society
Arjun,21.0,95.12,Entrepreneurship Cell
Eric Rush,19.0,62.4,"Coding Club, Entrepreneurship Cell, Sports Club"
Derek Wilson,21.0,77.43,"Robotics, Entrepreneurship Cell"
Mary Hill,20.0,63.54,Coding Club
Danielle Reed,23.0,89.44,"Cultural Club, Literary Society"
Carlos Love,19.0,81.92,"Cultural Club, Sports Club, Robotics"
Anil,23.0,83.29,"Cultural Club, Sports Club"
Suresh,21.0,75.09,"Robotics, Entrepreneurship Cell"
Rakhi,19.0,88.94,Literary Society
Divya,19.0,99.38,"Sports Club, Coding Club"
Ramya,18.0,83.37,"Cultural Club, Literary Society"
Kevin Johnson,20.0,73.39,Literary Society
Arjun,21.0,95.24,"Coding Club, Entrepreneurship Cell, Sports Club"
Rachel Thompson,20.0,73.04,"Coding Club, Literary Society, Robotics"
Anita,18.0,66.65,"Sports Club, Entrepreneurship Cell"
Darryl Acosta,19.0,71.9,Literary Society
Vernon Huff,20.0,73.98,Entrepreneurship Cell
Rakhi,23.0,93.37,"Robotics, Sports Club, Literary Society"
Amit,19.0,82.6,"Entrepreneurship Cell, Coding Club, Cultural Club"
Adam Brooks,21.0,78.55,Entrepreneurship Cell
Alicia Li,18.0,90.61,"Robotics, Cultural Club, Coding Club"
Jessica Bennett,23.0,80.2,Entrepreneurship Cell
Arjun,23.0,71.19,"Coding Club, Sports Club, Robotics"
Melissa Stewart,22.0,71.29,"Robotics, Coding Club"
Ramya,21.0,71.65,"Cultural Club, Robotics, Literary Society"
Kelly Barnes,23.0,82.25,"Robotics, Literary Society"
Lance Simmons,22.0,71.29,"Sports Club, Literary Society, Entrepreneurship Cell"
Bradley Duncan,23.0,99.46,"Sports Club, Entrepreneurship Cell, Literary Society"
Karan,18.0,77.59,"Literary Society, Coding Club"
Rakhi,19.0,91.43,"Entrepreneurship Cell, Literary Society, Cultural Club"
Sandra Kelley,18.0,74.03,"Coding Club, Cultural Club"
Richard Gibson,18.0,75.09,"Sports Club, Cultural Club"
Meena,22.0,81.82,"Coding Club, Sports Club"
Sonal,19.0,75.31,Sports Club
Lisa Gibbs,19.0,85.45,"Robotics, Literary Society"
Rahul,22.0,96.95,"Literary Society, Coding Club, Robotics"
Rahul,22.0,85.02,Cultural Club
Pooja,22.0,64.94,"Cultural Club, Coding Club"
Anil,23.0,92.66,Cultural Club
Anil,18.0,89.79,Literary Society
Ramya,21.0,83.42,"Entrepreneurship Cell, Literary Society"
Joyce Bowen,21.0,65.55,"Entrepreneurship Cell, Sports Club"
Priscilla Berg,22.0,76.9,"Cultural Club, Sports Club, Robotics"
Jacob Preston,20.0,72.73,"Coding Club, Sports Club"
Rakhi,23.0,79.06,"Coding Club, Entrepreneurship Cell, Sports Club"
Sonal,19.0,75.31,Sports Club
Ramya,20.0,97.41,"Cultural Club, Entrepreneurship Cell"
